ID	Height
305	24.5
306	21
307	21
308	21
309	17.5
310	17.5
311	17.5
312	21
313	21
314	17.5
315	4
316	4
317	7
318	14
319	21
320	17.5
321	15
322	21
323	27
324	36.4
325	8.4
326	36.4
327	8.4
328	30
329	18
330	36
331	78
332	78
333	78
334	78
335	18
336	9
337	21
338	18
339	36.4
340	27
341	9
342	27
343	51
344	51
345	36
346	9
347	21
348	7
349	10.5
350	17.5
351	17.5
352	17.5
353	17.5
354	17.5
355	17.5
356	17.5
357	7
358	7
359	17.5
360	17.5
361	17.5
362	17.5
363	17.5
364	17.5
365	17.5
366	17.5
367	17.5
368	17.5
369	17.5
370	17.5
371	17.5
372	3.3
373	3.3
374	3.3
375	3.3
376	3.3
377	3.3
378	3.3
379	3.3
380	3.3
381	3.3
382	3.3
383	3.3
384	3.3
385	3.3
386	3.3
387	3.3
388	3
389	3
390	3.3
391	3.3
392	3.3
393	3.3
394	3.3
395	3.3
396	3.3
397	3.3
398	3.3
399	3.3
400	3.3
401	3.3
402	3.3
403	3.3
404	3.3
405	21
406	3
407	17.5
408	17.5
409	17.5
410	17.5
411	17.5
412	17.5
413	21
414	64.8
415	68.4
416	68.4
417	68.4
418	68.4
419	68.4
420	72
421	68.4
422	64.8
423	72
424	32.4
425	21.6
426	4
427	21
428	17.5
429	21
430	17.5
431	21
432	14
433	17.5
434	17.5
435	17.5
436	17.5
437	21
438	21
439	21
440	21
441	17.5
442	17.5
443	17.5
444	17.5
445	17.5
446	59.5
447	59.5
448	17.5
449	17.5
450	17.5
451	17.5
452	17.5
453	17.5
454	17.5
455	17.5
456	17.5
457	17.5
458	17.5
459	17.5
460	17.5
461	17.5
462	17.5
463	17.5
464	17.5
465	17.5
466	17.5
467	17.5
468	17.5
469	17.5
470	17.5
471	17.5
472	17.5
473	17.5
474	17.5
475	17.5
476	17.5
477	17.5
478	17.5
479	17.5
480	17.5
481	17.5
482	17.5
483	17.5
484	17.5
485	4.5
486	4.5
487	8
488	17.5
489	21
490	21
491	21
492	21
493	21
494	14
495	14
496	12
497	6
498	6
499	9
500	18
501	18
502	18
503	18
504	18
505	21
506	3.5
507	3
508	3
509	3.5
510	18
511	18
512	18
513	18
514	18
515	18
516	18
517	18
518	18
519	18
520	18
521	18
522	18
523	18
524	18
525	18
526	4
527	21
528	24.5
529	24.5
530	24.5
531	24.5
532	24.5
533	24.5
534	24.5
535	24.5
536	31.5
537	29.7
538	24.5
539	24.5
540	24.5
541	7
542	24.5
543	14
544	17.5
545	14
546	14
547	10.5
548	17.5
549	13.2
550	7
551	15
552	14
553	10.5
554	7
555	3.5
556	3
557	10.5
558	36
559	24
560	28
561	42
562	18
563	18
564	24
565	17.5
566	17.5
567	16
568	16
569	20
570	14
571	35
572	44
573	44
574	44
575	20
576	12
577	12
578	20
579	16
580	16.8
581	12
582	16.8
583	7
584	6
585	9
586	20
587	14
588	20
589	17.5
590	28
591	20
592	42
593	7
594	18
595	9
596	9
597	6
598	6
599	6
600	6
601	6
602	9
603	6
604	6
605	6
606	6
607	6
608	6
609	6
610	6
611	6
612	6
613	6
614	6
615	6
616	6
617	6
